Student_ID,Name,Gender,Branch,Semester,Internal_Marks,External_Marks,Assignment_Score,Total_Marks,SGPA,Grade,Attendance_Percentage,Lecture_Attended,Lecture_Missed,Late_Coming_Count,Study_Hours_Per_Day,Assignment_Submission_Rate,Notes_Completion_Rate,Core_Subject_Avg,Technical_Subject_Avg,Practical_Score,Project_Score,Group_Activity_Score,Communication_Score,Average_Marks,Attendance_Status,Performance_Index,Final_Result,Performance_Label,Risk_Level
S0163,Simran,Female,Mechanical,5,16,65,19,100,10.0,A,78,93,27,1,3.5,100,69,70,91,79,35,64,70,33.33,Fail,66.66,Pass,Excellent,Low
S0164,Aditi,Female,Civil,4,17,21,11,49,4.9,D,36,43,77,2,1.8,100,100,57,63,35,31,84,39,16.33,Fail,32.66,Fail,Poor,High
S0165,Saurabh,Male,Mechanical,5,26,65,18,109,10.0,A,54,64,56,13,4.1,78,50,60,87,60,65,54,75,36.33,Fail,68.16,Pass,Excellent,High
S0166,Om,Male,Mechanical,7,22,67,11,100,10.0,A,96,115,5,5,2.4,49,74,40,81,65,74,63,54,33.33,Fail,66.66,Pass,Excellent,Low
S0167,Aarav,Male,Electrical,7,27,34,8,69,6.9,C,100,120,0,8,1.4,43,81,51,88,64,70,60,66,23.0,Fail,46.0,Pass,Poor,Medium
S0168,Riya,Female,CSE,6,5,16,9,30,3.5,D,35,42,78,4,0.9,37,98,70,30,63,30,40,39,10.0,Fail,22.5,Fail,Poor,High
S0169,Pooja,Female,IT,1,27,54,27,108,10.0,A,100,120,0,12,5.3,88,100,79,69,84,65,71,92,36.0,Fail,68.0,Pass,Excellent,Low
S0170,Arjun,Male,IT,8,29,45,30,104,10.0,A,91,109,11,8,6.9,100,74,93,60,79,100,73,56,34.67,Fail,67.34,Pass,Excellent,Low
S0171,Rahul,Male,IT,8,22,28,11,61,6.1,C,53,63,57,4,2.1,35,59,30,41,30,30,50,59,20.33,Fail,40.66,Pass,Poor,High
S0172,Tanvi,Female,CSE,8,16,70,18,104,10.0,A,79,94,26,8,5.6,100,89,30,66,54,49,99,79,34.67,Fail,67.34,Pass,Excellent,Low
S0173,Kunal,Male,Mechanical,7,30,59,24,113,10.0,A,87,104,16,13,5.5,98,48,60,75,83,59,41,93,37.67,Fail,68.84,Pass,Excellent,Low
S0174,Saurabh,Male,Mechanical,1,16,57,15,88,8.8,A,63,75,45,0,3.9,50,91,39,58,98,100,56,40,29.33,Fail,58.66,Pass,Excellent,Low
S0175,Pranav,Male,Mechanical,1,30,62,8,100,10.0,A,79,94,26,13,3.3,100,65,76,30,70,62,47,74,33.33,Fail,66.66,Pass,Excellent,Low
S0176,Khushi,Female,Mechanical,6,6,31,9,46,4.6,D,36,43,77,4,0.5,76,47,45,52,68,58,46,39,15.33,Fail,30.66,Fail,Poor,High
S0177,Pranav,Male,ENTC,4,30,60,30,120,10.0,A,74,88,32,7,8.2,80,91,70,82,59,86,74,59,40.0,Fail,70.0,Pass,Excellent,Low
S0178,Khushi,Female,CSE,5,30,61,28,119,10.0,A,86,103,17,9,4.9,73,62,49,86,77,75,97,52,39.67,Fail,69.84,Pass,Excellent,Low
S0179,Ananya,Female,Mechanical,3,17,34,11,62,6.2,C,67,80,40,10,0.5,76,81,30,30,31,60,63,41,20.67,Fail,41.34,Pass,Poor,Medium
S0180,Saurabh,Male,ENTC,2,30,54,26,110,10.0,A,86,103,17,1,5.0,100,100,88,91,87,69,82,55,36.67,Fail,68.34,Pass,Excellent,Low
S0181,Aman,Male,Civil,4,25,69,25,119,10.0,A,100,120,0,2,6.7,100,61,67,92,81,86,84,40,39.67,Fail,69.84,Pass,Excellent,Low
S0182,Riya,Female,Mechanical,2,15,40,17,72,7.2,B,58,69,51,6,2.9,39,76,69,33,52,81,100,56,24.0,Fail,48.0,Pass,Average,High
S0183,Kunal,Male,ENTC,8,14,34,20,68,6.8,C,89,106,14,11,4.4,100,83,72,71,46,87,79,41,22.67,Fail,45.34,Pass,Poor,Medium
S0184,Anushka,Female,Electrical,8,16,43,12,71,7.1,B,70,84,36,7,2.2,61,54,71,72,52,84,75,54,23.67,Fail,47.34,Pass,Average,Medium
S0185,Atharva,Male,Electrical,7,5,13,5,23,3.5,D,35,42,78,5,0.7,71,75,30,33,50,60,64,38,7.67,Fail,21.34,Fail,Poor,High
S0186,Ritik,Male,Mechanical,2,12,37,16,65,6.5,C,58,69,51,11,5.5,85,41,89,46,85,69,86,85,21.67,Fail,43.34,Pass,Poor,High
S0187,Kunal,Male,Electrical,2,17,25,12,54,5.4,D,59,70,50,12,3.0,64,87,72,61,46,48,94,90,18.0,Fail,36.0,Pass,Poor,High
S0188,Ananya,Female,ENTC,6,22,51,11,84,8.4,B,78,93,27,7,2.2,81,100,39,41,53,66,53,73,28.0,Fail,56.0,Pass,Average,Low
S0189,Nandini,Female,Electrical,6,19,50,25,94,9.4,A,74,88,32,4,4.4,89,75,62,77,58,63,90,78,31.33,Fail,62.66,Pass,Excellent,Low
S0190,Akash,Male,Electrical,2,30,41,30,101,10.0,A,84,100,20,5,3.7,100,83,30,84,66,78,50,54,33.67,Fail,66.84,Pass,Excellent,Low
S0191,Shubham,Male,Mechanical,8,19,51,8,78,7.8,B,59,70,50,6,5.4,55,90,47,34,93,58,99,30,26.0,Fail,52.0,Pass,Average,High
S0192,Aditi,Female,Mechanical,3,14,24,16,54,5.4,D,49,58,62,13,1.0,35,97,45,72,56,42,46,39,18.0,Fail,36.0,Pass,Poor,High
S0193,Ritik,Male,Electrical,5,16,54,24,94,9.4,A,71,85,35,8,4.7,82,62,80,75,98,54,96,37,31.33,Fail,62.66,Pass,Excellent,Low
S0194,Rohan,Male,ENTC,6,17,43,19,79,7.9,B,49,58,62,13,2.2,60,36,58,95,55,73,49,71,26.33,Fail,52.66,Pass,Average,High
S0195,Atharva,Male,Civil,4,11,49,10,70,7.0,B,76,91,29,9,3.4,59,94,49,95,69,83,35,55,23.33,Fail,46.66,Pass,Average,Medium
S0196,Aarav,Male,Mechanical,2,5,23,10,38,3.8,D,36,43,77,11,3.4,100,78,85,83,51,44,48,56,12.67,Fail,25.34,Fail,Poor,High
S0197,Palak,Female,IT,7,10,37,11,58,5.8,D,55,66,54,4,4.2,92,94,75,62,65,77,38,46,19.33,Fail,38.66,Pass,Poor,High
S0198,Aditi,Female,Civil,2,22,13,6,41,4.1,D,58,69,51,13,3.0,80,60,50,87,78,73,49,69,13.67,Fail,27.34,Fail,Poor,High
S0199,Diya,Female,Mechanical,8,20,61,15,96,9.6,A,73,87,33,10,5.1,56,100,93,65,91,76,44,68,32.0,Fail,64.0,Pass,Excellent,Low
S0200,Pranav,Male,Mechanical,8,22,69,20,111,10.0,A,56,67,53,5,4.0,50,91,63,57,91,56,73,64,37.0,Fail,68.5,Pass,Excellent,High
S0201,Aarav,Male,ENTC,5,22,46,8,76,7.6,B,100,120,0,6,1.5,84,57,78,46,62,57,62,31,25.33,Fail,50.66,Pass,Average,Low
S0202,Shruti,Female,ENTC,5,19,38,23,80,8.0,B,60,72,48,4,3.0,91,100,36,40,58,61,71,54,26.67,Fail,53.34,Pass,Average,Low
S0203,Tanvi,Female,IT,3,11,30,14,55,5.5,D,42,50,70,4,3.6,86,56,58,59,64,72,80,47,18.33,Fail,36.66,Pass,Poor,High
S0204,Shubham,Male,ENTC,4,21,35,23,79,7.9,B,60,72,48,0,4.5,100,67,70,50,64,66,50,53,26.33,Fail,52.66,Pass,Average,Low
S0205,Vaishnavi,Female,ENTC,4,22,33,21,76,7.6,B,68,81,39,4,3.7,79,30,51,84,56,68,39,74,25.33,Fail,50.66,Pass,Average,Low
S0206,Harsh,Male,Electrical,2,26,50,26,102,10.0,A,71,85,35,1,3.5,94,70,48,59,42,51,69,51,34.0,Fail,67.0,Pass,Excellent,Low
S0207,Ritik,Male,CSE,8,5,10,7,22,3.5,D,35,42,78,11,0.5,76,80,50,49,63,74,30,54,7.33,Fail,21.16,Fail,Poor,High
S0208,Pooja,Female,CSE,5,7,24,18,49,4.9,D,51,61,59,13,2.2,100,54,71,62,76,40,49,30,16.33,Fail,32.66,Fail,Poor,High
S0209,Ritik,Male,IT,4,30,68,17,115,10.0,A,100,120,0,3,6.7,100,94,83,65,65,43,64,58,38.33,Fail,69.16,Pass,Excellent,Low
S0210,Arjun,Male,Mechanical,5,17,20,11,48,4.8,D,35,42,78,3,2.5,100,78,56,59,65,57,59,49,16.0,Fail,32.0,Fail,Poor,High
S0211,Tanvi,Female,IT,1,15,38,19,72,7.2,B,45,54,66,9,4.0,79,82,44,38,71,64,30,37,24.0,Fail,48.0,Pass,Average,High
S0212,Pranav,Male,CSE,4,25,60,20,105,10.0,A,80,96,24,14,2.4,62,63,54,55,74,56,30,71,35.0,Fail,67.5,Pass,Excellent,Low
S0213,Atharva,Male,CSE,6,11,24,17,52,5.2,D,52,62,58,4,1.1,88,68,74,43,38,40,57,85,17.33,Fail,34.66,Pass,Poor,High
S0214,Shubham,Male,Civil,5,9,30,22,61,6.1,C,72,86,34,6,3.6,100,84,77,50,100,64,47,48,20.33,Fail,40.66,Pass,Poor,Medium
S0215,Om,Male,Mechanical,8,5,20,5,30,3.5,D,59,70,50,14,0.9,48,98,50,30,78,51,60,30,10.0,Fail,22.5,Fail,Poor,High
S0216,Siddharth,Male,Mechanical,3,30,41,17,88,8.8,A,77,92,28,0,5.5,65,96,84,92,67,67,52,67,29.33,Fail,58.66,Pass,Excellent,Low
S0217,Arjun,Male,Mechanical,5,17,33,27,77,7.7,B,67,80,40,7,3.6,88,30,67,50,80,66,60,54,25.67,Fail,51.34,Pass,Average,Low
S0218,Simran,Female,Mechanical,1,15,38,17,70,7.0,B,71,85,35,0,1.9,72,94,57,39,32,54,43,43,23.33,Fail,46.66,Pass,Average,Medium
S0219,Riya,Female,Mechanical,7,14,29,9,52,5.2,D,37,44,76,4,0.7,68,59,30,30,50,48,64,75,17.33,Fail,34.66,Pass,Poor,High
S0220,Akash,Male,Mechanical,7,25,50,21,96,9.6,A,75,90,30,10,4.4,91,80,79,44,60,51,48,93,32.0,Fail,64.0,Pass,Excellent,Low
S0221,Palak,Female,IT,7,23,70,25,118,10.0,A,91,109,11,0,6.8,46,92,95,95,66,80,58,66,39.33,Fail,69.66,Pass,Excellent,Low
S0222,Nandini,Female,Civil,6,27,47,15,89,8.9,A,66,79,41,13,5.1,71,80,86,64,53,77,65,73,29.67,Fail,59.34,Pass,Excellent,Low
S0223,Nikhil,Male,CSE,1,16,50,21,87,8.7,A,66,79,41,12,2.2,76,70,59,40,55,55,59,46,29.0,Fail,58.0,Pass,Excellent,Low
S0224,Vaishnavi,Female,CSE,6,23,64,18,105,10.0,A,51,61,59,10,2.8,98,57,74,80,74,47,80,53,35.0,Fail,67.5,Pass,Excellent,High
S0225,Saurabh,Male,ENTC,5,21,37,22,80,8.0,B,73,87,33,7,3.9,94,95,30,54,54,39,63,44,26.67,Fail,53.34,Pass,Average,Low
S0226,Ritik,Male,CSE,2,29,52,12,93,9.3,A,71,85,35,13,4.8,83,86,55,55,64,46,69,62,31.0,Fail,62.0,Pass,Excellent,Low
S0227,Aarav,Male,ENTC,3,10,44,12,66,6.6,C,60,72,48,13,3.2,55,67,43,75,61,85,63,91,22.0,Fail,44.0,Pass,Poor,Medium
S0228,Ananya,Female,CSE,7,9,62,21,92,9.2,A,69,82,38,7,1.1,64,51,38,52,30,30,74,60,30.67,Fail,61.34,Pass,Excellent,Low
S0229,Shubham,Male,Electrical,4,20,45,21,86,8.6,A,55,66,54,1,6.2,100,100,75,59,74,100,78,78,28.67,Fail,57.34,Pass,Excellent,High
S0230,Akash,Male,Mechanical,3,23,64,30,117,10.0,A,57,68,52,10,4.7,91,77,82,57,65,66,44,68,39.0,Fail,69.5,Pass,Excellent,High
S0231,Vihaan,Male,Mechanical,3,21,33,13,67,6.7,C,69,82,38,11,4.3,72,57,65,88,61,66,30,52,22.33,Fail,44.66,Pass,Poor,Medium
S0232,Shubham,Male,IT,4,19,33,18,70,7.0,B,61,73,47,8,2.4,74,66,38,41,73,60,45,47,23.33,Fail,46.66,Pass,Average,Medium
S0233,Kunal,Male,Electrical,6,6,36,7,49,4.9,D,79,94,26,7,0.5,72,94,45,45,64,84,42,71,16.33,Fail,32.66,Fail,Poor,High
S0234,Simran,Female,Civil,5,29,58,13,100,10.0,A,82,98,22,3,4.3,85,56,56,83,72,41,53,47,33.33,Fail,66.66,Pass,Excellent,Low
S0235,Om,Male,Mechanical,7,21,68,16,105,10.0,A,86,103,17,8,4.8,100,61,33,30,90,43,58,60,35.0,Fail,67.5,Pass,Excellent,Low
S0236,Kavya,Female,IT,1,21,55,11,87,8.7,A,92,110,10,8,1.8,56,73,76,57,82,58,55,53,29.0,Fail,58.0,Pass,Excellent,Low
S0237,Shruti,Female,Mechanical,4,7,22,10,39,3.9,D,61,73,47,8,2.2,87,55,31,61,70,36,68,50,13.0,Fail,26.0,Fail,Poor,High
S0238,Vaishnavi,Female,IT,8,21,12,16,49,4.9,D,79,94,26,4,2.5,86,83,32,49,63,41,40,75,16.33,Fail,32.66,Fail,Poor,High
S0239,Aman,Male,IT,6,29,51,15,95,9.5,A,69,82,38,1,3.7,100,81,54,38,57,48,66,77,31.67,Fail,63.34,Pass,Excellent,Low
S0240,Aman,Male,Mechanical,1,21,58,18,97,9.7,A,74,88,32,2,4.2,70,68,73,70,87,84,53,76,32.33,Fail,64.66,Pass,Excellent,Low
S0241,Akash,Male,Electrical,6,19,70,18,107,10.0,A,64,76,44,9,5.6,91,75,44,74,73,78,74,83,35.67,Fail,67.84,Pass,Excellent,Low
S0242,Vihaan,Male,Civil,7,5,25,12,42,4.2,D,35,42,78,9,0.5,74,46,61,91,83,66,30,45,14.0,Fail,28.0,Fail,Poor,High
S0243,Aditya,Male,Civil,2,9,38,5,52,5.2,D,67,80,40,2,6.1,97,100,88,95,81,96,48,54,17.33,Fail,34.66,Pass,Poor,High
S0244,Anushka,Female,ENTC,3,21,33,17,71,7.1,B,86,103,17,3,3.6,64,80,52,76,69,45,48,47,23.67,Fail,47.34,Pass,Average,Medium
S0245,Nandini,Female,Civil,5,5,21,16,42,4.2,D,66,79,41,3,2.7,100,84,57,57,73,78,53,70,14.0,Fail,28.0,Fail,Poor,High
S0246,Anushka,Female,Mechanical,3,21,51,10,82,8.2,B,76,91,29,13,3.1,72,61,51,65,66,70,72,50,27.33,Fail,54.66,Pass,Average,Low
S0247,Palak,Female,IT,5,23,43,29,95,9.5,A,70,84,36,8,6.6,73,75,76,94,55,70,70,85,31.67,Fail,63.34,Pass,Excellent,Low
S0248,Saurabh,Male,ENTC,6,16,25,7,48,4.8,D,67,80,40,11,2.0,37,100,73,81,85,50,58,43,16.0,Fail,32.0,Fail,Poor,High
S0249,Rahul,Male,Mechanical,3,24,41,23,88,8.8,A,69,82,38,3,6.5,91,74,76,76,75,92,54,100,29.33,Fail,58.66,Pass,Excellent,Low
S0250,Sakshi,Female,IT,5,25,15,10,50,5.0,D,100,120,0,0,2.4,82,66,60,61,38,61,30,35,16.67,Fail,33.34,Pass,Poor,High
S0251,Aarav,Male,Electrical,6,14,37,11,62,6.2,C,84,100,20,14,4.0,65,88,54,69,90,38,90,72,20.67,Fail,41.34,Pass,Poor,Medium
S0252,Rahul,Male,ENTC,7,30,70,19,119,10.0,A,91,109,11,12,6.0,71,79,71,95,76,93,65,77,39.67,Fail,69.84,Pass,Excellent,Low
S0253,Anushka,Female,ENTC,3,15,20,5,40,4.0,D,45,54,66,14,2.6,94,75,95,76,35,83,46,75,13.33,Fail,26.66,Fail,Poor,High
S0254,Akash,Male,Mechanical,4,10,22,16,48,4.8,D,42,50,70,4,3.0,75,88,63,56,79,50,35,78,16.0,Fail,32.0,Fail,Poor,High
S0255,Tanish,Male,ENTC,5,15,15,14,44,4.4,D,35,42,78,5,2.5,79,59,51,31,35,64,69,41,14.67,Fail,29.34,Fail,Poor,High
S0256,Pooja,Female,Electrical,1,29,47,15,91,9.1,A,88,105,15,2,5.4,82,83,30,76,63,94,67,59,30.33,Fail,60.66,Pass,Excellent,Low
S0257,Saurabh,Male,ENTC,7,10,10,17,37,3.7,D,51,61,59,14,2.8,98,50,71,45,73,85,71,50,12.33,Fail,24.66,Fail,Poor,High
S0258,Ananya,Female,CSE,3,19,45,17,81,8.1,B,80,96,24,2,2.5,76,48,53,42,55,79,70,58,27.0,Fail,54.0,Pass,Average,Low
S0259,Saurabh,Male,CSE,1,15,29,21,65,6.5,C,45,54,66,8,1.0,61,82,43,30,61,79,50,40,21.67,Fail,43.34,Pass,Poor,High
S0260,Neha,Female,ENTC,2,27,56,12,95,9.5,A,85,102,18,5,4.6,69,87,80,65,30,44,70,93,31.67,Fail,63.34,Pass,Excellent,Low
S0261,Ritik,Male,Mechanical,5,23,50,18,91,9.1,A,91,109,11,1,4.0,59,94,70,52,30,57,70,69,30.33,Fail,60.66,Pass,Excellent,Low
S0262,Aarav,Male,ENTC,8,24,66,22,112,10.0,A,83,99,21,10,7.5,76,93,63,82,85,94,50,64,37.33,Fail,68.66,Pass,Excellent,Low
S0263,Siddharth,Male,IT,3,19,55,10,84,8.4,B,72,86,34,8,7.2,84,61,67,69,100,82,67,93,28.0,Fail,56.0,Pass,Average,Low
S0264,Tanish,Male,Electrical,3,26,70,15,111,10.0,A,66,79,41,5,6.1,84,80,66,80,73,63,93,92,37.0,Fail,68.5,Pass,Excellent,Low
S0265,Vaishnavi,Female,CSE,1,13,29,17,59,5.9,D,71,85,35,1,1.7,67,100,84,46,49,65,78,61,19.67,Fail,39.34,Pass,Poor,High
S0266,Riya,Female,Civil,8,30,12,11,53,5.3,D,75,90,30,0,0.5,87,72,42,52,30,46,50,39,17.67,Fail,35.34,Pass,Poor,High
S0267,Saurabh,Male,CSE,1,30,65,27,122,10.0,A,100,120,0,9,9.0,86,100,71,95,65,79,68,100,40.67,Fail,70.34,Pass,Excellent,Low
S0268,Sakshi,Female,IT,4,12,48,24,84,8.4,B,83,99,21,13,3.3,81,55,73,51,92,40,53,88,28.0,Fail,56.0,Pass,Average,Low
S0269,Aditya,Male,CSE,4,25,60,23,108,10.0,A,70,84,36,5,4.8,100,54,49,81,32,91,61,50,36.0,Fail,68.0,Pass,Excellent,Low
S0270,Aman,Male,Civil,7,26,44,14,84,8.4,B,93,111,9,11,1.6,68,45,58,30,58,52,82,48,28.0,Fail,56.0,Pass,Average,Low
S0271,Meera,Female,CSE,5,24,39,13,76,7.6,B,60,72,48,9,4.7,94,100,53,82,62,57,45,77,25.33,Fail,50.66,Pass,Average,Low
S0272,Om,Male,Mechanical,7,12,13,7,32,3.5,D,62,74,46,7,1.2,39,58,46,39,75,64,56,33,10.67,Fail,22.84,Fail,Poor,High
S0273,Ishita,Female,IT,4,5,20,9,34,3.5,D,35,42,78,6,0.5,67,69,30,57,63,73,57,53,11.33,Fail,23.16,Fail,Poor,High
S0274,Ritik,Male,Electrical,1,24,43,20,87,8.7,A,73,87,33,7,3.6,62,75,83,70,76,67,63,88,29.0,Fail,58.0,Pass,Excellent,Low
S0275,Khushi,Female,Electrical,1,22,53,22,97,9.7,A,100,120,0,3,4.1,81,92,77,66,68,77,30,66,32.33,Fail,64.66,Pass,Excellent,Low
S0276,Prachi,Female,Electrical,5,30,48,15,93,9.3,A,56,67,53,3,4.6,100,89,56,79,77,60,66,96,31.0,Fail,62.0,Pass,Excellent,High
S0277,Shubham,Male,Civil,1,22,27,15,64,6.4,C,50,60,60,8,4.5,100,77,64,87,78,35,40,50,21.33,Fail,42.66,Pass,Poor,High
S0278,Pranav,Male,Electrical,4,23,31,10,64,6.4,C,62,74,46,2,1.1,97,69,41,75,68,62,34,39,21.33,Fail,42.66,Pass,Poor,Medium
S0279,Ritik,Male,Mechanical,6,12,53,11,76,7.6,B,45,54,66,1,2.2,68,49,49,30,45,70,62,72,25.33,Fail,50.66,Pass,Average,High
S0280,Pooja,Female,Electrical,8,26,25,8,59,5.9,D,84,100,20,6,3.6,92,65,53,58,44,60,57,35,19.67,Fail,39.34,Pass,Poor,High
S0281,Rahul,Male,CSE,7,5,38,15,58,5.8,D,38,45,75,6,4.4,80,78,30,51,94,52,60,66,19.33,Fail,38.66,Pass,Poor,High
S0282,Pooja,Female,IT,7,27,17,20,64,6.4,C,59,70,50,3,3.9,100,100,57,70,95,82,45,55,21.33,Fail,42.66,Pass,Poor,High
S0283,Rahul,Male,Civil,3,30,54,24,108,10.0,A,93,111,9,9,7.6,100,54,83,91,59,80,100,89,36.0,Fail,68.0,Pass,Excellent,Low
S0284,Aman,Male,CSE,2,8,19,8,35,3.5,D,64,76,44,3,2.5,86,96,50,86,63,65,50,44,11.67,Fail,23.34,Fail,Poor,High
S0285,Khushi,Female,IT,1,22,32,16,70,7.0,B,60,72,48,10,1.4,81,81,68,30,55,53,74,40,23.33,Fail,46.66,Pass,Average,Medium
S0286,Tanish,Male,Electrical,1,24,26,13,63,6.3,C,79,94,26,3,5.0,100,65,85,90,50,85,69,79,21.0,Fail,42.0,Pass,Poor,Medium
S0287,Arjun,Male,Civil,6,9,19,7,35,3.5,D,51,61,59,14,1.7,100,70,69,30,56,63,67,67,11.67,Fail,23.34,Fail,Poor,High
S0288,Aditya,Male,Electrical,7,20,53,21,94,9.4,A,78,93,27,5,2.8,73,79,78,60,62,45,30,61,31.33,Fail,62.66,Pass,Excellent,Low
S0289,Aditya,Male,IT,2,16,29,13,58,5.8,D,66,79,41,11,3.8,100,62,68,47,91,60,100,64,19.33,Fail,38.66,Pass,Poor,High
S0290,Aarav,Male,Electrical,5,20,25,5,50,5.0,D,64,76,44,4,0.5,99,59,74,43,35,70,39,48,16.67,Fail,33.34,Pass,Poor,High
S0291,Pranav,Male,CSE,4,30,61,11,102,10.0,A,89,106,14,13,4.8,76,100,68,40,39,94,83,37,34.0,Fail,67.0,Pass,Excellent,Low
S0292,Pooja,Female,Mechanical,5,23,61,20,104,10.0,A,83,99,21,8,5.0,65,96,39,64,77,76,71,62,34.67,Fail,67.34,Pass,Excellent,Low
S0293,Palak,Female,ENTC,1,18,28,17,63,6.3,C,35,42,78,4,2.5,81,89,49,78,71,86,60,71,21.0,Fail,42.0,Pass,Poor,High
S0294,Ishita,Female,ENTC,1,16,34,5,55,5.5,D,72,86,34,6,2.0,56,58,38,65,62,79,60,59,18.33,Fail,36.66,Pass,Poor,High
S0295,Shruti,Female,Civil,2,14,26,5,45,4.5,D,73,87,33,1,5.0,87,62,50,68,52,51,77,57,15.0,Fail,30.0,Fail,Poor,High
S0296,Saurabh,Male,Civil,4,28,44,8,80,8.0,B,69,82,38,3,0.9,92,78,58,35,48,31,30,44,26.67,Fail,53.34,Pass,Average,Low
S0297,Tanvi,Female,IT,7,20,10,9,39,3.9,D,58,69,51,4,0.7,55,86,56,33,77,50,78,67,13.0,Fail,26.0,Fail,Poor,High
S0298,Akash,Male,ENTC,1,20,34,14,68,6.8,C,55,66,54,8,0.5,95,53,87,85,64,63,67,68,22.67,Fail,45.34,Pass,Poor,High
S0299,Khushi,Female,CSE,8,15,17,13,45,4.5,D,43,51,69,12,0.8,82,68,39,32,75,82,76,64,15.0,Fail,30.0,Fail,Poor,High
S0300,Palak,Female,Civil,5,30,46,24,100,10.0,A,85,102,18,5,4.0,58,71,65,54,68,79,47,52,33.33,Fail,66.66,Pass,Excellent,Low
S0301,Anushka,Female,IT,4,12,27,26,65,6.5,C,50,60,60,8,4.7,90,100,32,84,100,99,32,50,21.67,Fail,43.34,Pass,Poor,High
S0302,Aarav,Male,Electrical,2,13,40,25,78,7.8,B,57,68,52,6,3.9,81,38,60,37,67,65,50,33,26.0,Fail,52.0,Pass,Average,High
S0303,Rohan,Male,Electrical,6,14,65,15,94,9.4,A,76,91,29,4,2.6,100,96,50,48,89,45,65,63,31.33,Fail,62.66,Pass,Excellent,Low
S0304,Meera,Female,Mechanical,2,15,40,19,74,7.4,B,72,86,34,5,3.0,73,64,37,52,51,59,40,44,24.67,Fail,49.34,Pass,Average,Medium
S0305,Vaishnavi,Female,IT,5,27,36,14,77,7.7,B,62,74,46,6,4.7,96,100,95,54,84,63,32,53,25.67,Fail,51.34,Pass,Average,Low
S0306,Yash,Male,Mechanical,4,11,43,17,71,7.1,B,50,60,60,8,2.2,82,93,67,58,46,92,76,31,23.67,Fail,47.34,Pass,Average,High
S0307,Siddharth,Male,ENTC,6,26,49,24,99,9.9,A,87,104,16,3,5.2,82,58,79,70,100,65,75,81,33.0,Fail,66.0,Pass,Excellent,Low
S0308,Ishita,Female,Electrical,6,15,16,10,41,4.1,D,60,72,48,5,3.2,73,88,40,32,60,56,67,52,13.67,Fail,27.34,Fail,Poor,High
S0309,Pooja,Female,Electrical,5,5,42,16,63,6.3,C,57,68,52,4,3.3,81,82,63,52,51,80,55,77,21.0,Fail,42.0,Pass,Poor,High
S0310,Atharva,Male,ENTC,8,18,46,12,76,7.6,B,49,58,62,1,0.5,83,70,54,66,54,58,64,56,25.33,Fail,50.66,Pass,Average,High
S0311,Siddharth,Male,ENTC,5,23,31,20,74,7.4,B,48,57,63,4,3.5,83,85,76,59,44,76,68,57,24.67,Fail,49.34,Pass,Average,High
S0312,Yash,Male,IT,6,19,32,19,70,7.0,B,46,55,65,1,5.2,87,100,66,64,40,87,80,78,23.33,Fail,46.66,Pass,Average,High
S0313,Shruti,Female,IT,4,21,36,15,72,7.2,B,51,61,59,6,3.5,90,100,50,83,61,77,58,100,24.0,Fail,48.0,Pass,Average,High
S0314,Simran,Female,Electrical,2,29,62,23,114,10.0,A,76,91,29,10,5.5,92,100,73,47,52,48,80,75,38.0,Fail,69.0,Pass,Excellent,Low
S0315,Kunal,Male,Mechanical,3,11,37,17,65,6.5,C,58,69,51,2,3.4,99,71,76,78,71,95,30,43,21.67,Fail,43.34,Pass,Poor,High
S0316,Kavya,Female,Mechanical,5,5,25,5,35,3.5,D,63,75,45,5,0.5,70,67,30,30,76,56,47,59,11.67,Fail,23.34,Fail,Poor,High
S0317,Kunal,Male,ENTC,4,15,21,16,52,5.2,D,82,98,22,2,2.0,93,83,30,45,35,62,49,53,17.33,Fail,34.66,Pass,Poor,High
S0318,Atharva,Male,CSE,7,5,43,13,61,6.1,C,44,52,68,2,2.4,81,98,40,79,64,94,52,100,20.33,Fail,40.66,Pass,Poor,High
S0319,Palak,Female,Mechanical,1,16,48,15,79,7.9,B,78,93,27,1,3.4,73,94,30,53,41,55,49,55,26.33,Fail,52.66,Pass,Average,Low
S0320,Prachi,Female,CSE,4,13,27,5,45,4.5,D,65,78,42,8,1.2,78,83,40,63,50,54,31,54,15.0,Fail,30.0,Fail,Poor,High
S0321,Pooja,Female,IT,4,18,44,5,67,6.7,C,94,112,8,6,1.4,74,72,54,73,55,57,74,31,22.33,Fail,44.66,Pass,Poor,Medium
S0322,Neha,Female,Mechanical,6,30,70,21,121,10.0,A,81,97,23,8,6.6,100,88,95,85,94,66,46,57,40.33,Fail,70.16,Pass,Excellent,Low
S0323,Prachi,Female,IT,7,30,70,25,125,10.0,A,95,114,6,6,7.9,84,85,84,76,98,71,85,57,41.67,Fail,70.84,Pass,Excellent,Low
S0324,Anushka,Female,Mechanical,8,18,54,22,94,9.4,A,88,105,15,1,6.5,82,84,95,81,100,79,62,77,31.33,Fail,62.66,Pass,Excellent,Low
S0325,Sakshi,Female,Civil,3,23,45,15,83,8.3,B,95,114,6,13,4.5,100,34,83,30,82,64,77,55,27.67,Fail,55.34,Pass,Average,Low
S0326,Neha,Female,Mechanical,2,19,60,20,99,9.9,A,72,86,34,1,4.5,61,100,43,53,62,85,66,54,33.0,Fail,66.0,Pass,Excellent,Low
S0327,Aarav,Male,IT,4,9,33,21,63,6.3,C,47,56,64,1,4.4,64,46,68,72,75,39,47,74,21.0,Fail,42.0,Pass,Poor,High
